origin_zone/destination_zone,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9
zone_1,0,911.5,1192.5,346,618,185.5,681,379,815.5
zone_2,690,0,384.5,139,158,19,200,58.5,183.5
zone_3,756,380,0,70.5,645.5,155,825.5,409.5,656.5
zone_4,231,109,290.5,0,196,90.5,196,125,292.5
zone_5,605.5,163.5,520,465,0,194,533,258.5,91.5
zone_6,29.5,10,45.5,29,213,0,11,33,33
zone_7,822.5,204.5,656.5,493.5,1037,91.5,0,530,1408.5
zone_8,368.5,80,372.5,128.5,273,106.5,571.5,0,610
zone_9,606.5,170,502,480.5,249,153,1173.5,473,0
