origin_zone/destination_zone,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9
zone_1,0,889,1362.5,758,127,41,266,153.5,253
zone_2,987.5,0,497.5,139.5,34,6.5,49.5,16.5,36.5
zone_3,1107.5,361,0,57.5,186.5,36,332,188.5,226.5
zone_4,525.5,138,68.5,0,33.5,8.5,37,35.5,89.5
zone_5,138.5,38.5,182,37,0,214.5,1075,422,188.5
zone_6,29.5,4.5,15.5,8.5,254,0,8,72,45
zone_7,243,55.5,159,118,1107,84,0,661,1122
zone_8,188,21,141.5,74.5,455,152,734,0,753
zone_9,274,45,129,81.5,338,277.5,1099,629,0
