interval_index,begin,end,intersection_id,official_approach,official_movement,target_pcu,actual_pcu,error_pcu,relative_error,geh,vehicle_contributions_pcu,passed
1,900,1800,demo_15,east,right,47,47.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 38.0, 'truck': 2.5}",True
1,900,1800,demo_15,east,through,46,46.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 37.0, 'truck': 2.5}",True
1,900,1800,demo_15,north,left,38,38.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 31.0, 'truck': 2.5}",True
1,900,1800,demo_15,north,right,59,59.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 47.0, 'truck': 5.0}",True
1,900,1800,demo_15,north,through,69,69.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 55.0, 'truck': 5.0}",True
1,900,1800,demo_15,south,left,66,66.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 52.0, 'truck': 5.0}",True
1,900,1800,demo_15,south,right,26,26.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 21.0, 'truck': 2.5}",True
1,900,1800,demo_15,south,through,125,125.0,0.0,0.0,0.0,"{'bus': 16.0, 'electric_bicycle': 1.5, 'passenger': 100.0, 'truck': 7.5}",True
1,900,1800,demo_15,west,left,47,47.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 38.0, 'truck': 2.5}",True
1,900,1800,demo_15,west,right,39,39.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 32.0, 'truck': 2.5}",True
1,900,1800,demo_15,west,through,48,48.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 39.0, 'truck': 2.5}",True
1,900,1800,demo_19,northeast,left,45,45.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 36.0, 'truck': 2.5}",True
1,900,1800,demo_19,northeast,right,37,37.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 30.0, 'truck': 2.5}",True
1,900,1800,demo_19,northeast,through,58,58.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 46.0, 'truck': 5.0}",True
1,900,1800,demo_19,northwest,left,45,45.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 36.0, 'truck': 2.5}",True
1,900,1800,demo_19,northwest,right,19,19.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 14.0, 'truck': 2.5}",True
1,900,1800,demo_19,northwest,through,25,25.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 20.0, 'truck': 2.5}",True
1,900,1800,demo_19,southeast,left,35,35.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 28.0, 'truck': 2.5}",True
1,900,1800,demo_19,southeast,right,24,24.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 19.0, 'truck': 2.5}",True
1,900,1800,demo_19,southeast,through,42,42.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 33.0, 'truck': 2.5}",True
1,900,1800,demo_19,southwest,left,33,33.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 26.0, 'truck': 2.5}",True
1,900,1800,demo_19,southwest,right,18,18.0,0.0,0.0,0.0,"{'bus': 2.0, 'electric_bicycle': 0.5, 'passenger': 13.0, 'truck': 2.5}",True
1,900,1800,demo_19,southwest,through,65,65.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 51.0, 'truck': 5.0}",True
2,1800,2700,demo_14,east,left,62,62.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 48.0, 'truck': 5.0}",True
2,1800,2700,demo_14,east,right,55,55.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 43.0, 'truck': 5.0}",True
2,1800,2700,demo_14,north,left,125,125.0,0.0,0.0,0.0,"{'bus': 16.0, 'electric_bicycle': 1.5, 'passenger': 100.0, 'truck': 7.5}",True
2,1800,2700,demo_14,north,through,29,29.0,0.0,0.0,0.0,"{'bus': 4.0, 'electric_bicycle': 0.5, 'passenger': 22.0, 'truck': 2.5}",True
2,1800,2700,demo_14,south,right,108,108.0,0.0,0.0,0.0,"{'bus': 14.0, 'electric_bicycle': 1.5, 'passenger': 85.0, 'truck': 7.5}",True
2,1800,2700,demo_14,south,through,62,62.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 48.0, 'truck': 5.0}",True
2,1800,2700,demo_15,east,left,51,51.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 42.0, 'truck': 2.5}",True
2,1800,2700,demo_15,east,right,61,61.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 47.0, 'truck': 5.0}",True
2,1800,2700,demo_15,east,through,58,58.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 1.0, 'passenger': 46.0, 'truck': 5.0}",True
2,1800,2700,demo_15,north,left,45,45.0,0.0,0.0,0.0,"{'bus': 6.0, 'electric_bicycle': 0.5, 'passenger': 36.0, 'truck': 2.5}",True
2,1800,2700,demo_15,north,right,72,72.0,0.0,0.0,0.0,"{'bus': 8.0, 'electric_bicycle': 1.0, 'passenger': 58.0, 'truck': 5.0}",True
