origin_zone/destination_zone,zone_1,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9
zone_1,0,409,571,165,269,116,506,261,515
zone_2,413.5,0,286.5,108.5,62,16,97.5,40,72.5
zone_3,369.5,257,0,51,343.5,73.5,455.5,220,409
zone_4,112.5,54,124.5,0,67.5,28.5,136,88.5,155.5
zone_5,376,76,255.5,153.5,0,153.5,278.5,286.5,41
zone_6,40,4.5,36,22,106.5,0,3,58.5,40
zone_7,564.5,125,420,335,602,110,0,463.5,971.5
zone_8,273,65.5,257,100.5,240.5,127,492,0,674.5
zone_9,428,101.5,295,205.5,95.5,162.5,932,519,0
